simulation_number,count
1,4
2,2
3,4
4,3
5,6
6,4
7,4
8,3
9,5
10,6
11,4
12,3
13,4
14,5
15,4
16,3
17,1
18,2
19,2
20,4
21,1
22,4
23,4
24,3
25,4
26,4
27,3
28,5
29,3
30,5
31,4
32,7
33,5
34,3
35,3
36,3
37,2
38,4
39,2
40,4
41,4
42,3
43,3
44,4
45,4
46,3
47,2
48,3
49,2
50,5
51,4
52,3
53,3
54,6
55,3
56,5
57,3
58,6
59,4
60,5
61,5
62,5
63,4
64,4
65,5
66,4
67,4
68,5
69,4
70,4
71,3
72,2
73,3
74,4
75,5
76,3
77,2
78,4
79,5
80,2
81,2
82,3
83,4
84,5
85,2
86,6
87,2
88,5
89,4
90,3
91,3
92,1
93,6
94,2
95,3
96,3
97,4
98,5
99,2
100,2
101,5
102,2
103,3
104,3
105,1
106,5
107,5
108,4
109,6
110,5
111,4
112,2
113,4
114,5
115,5
116,5
117,3
118,5
119,5
120,4
121,3
122,3
123,5
124,4
125,3
126,4
127,7
128,4
129,4
130,4
131,2
132,2
133,5
134,5
135,4
136,3
137,5
138,5
139,5
140,4
141,5
142,4
143,4
144,2
145,6
146,4
147,4
148,4
149,4
150,6
151,4
152,4
153,6
154,2
155,3
156,2
157,5
158,2
159,6
160,5
161,4
162,3
163,5
164,3
165,6
166,4
167,2
168,3
169,6
170,4
171,3
172,4
173,4
174,4
175,3
176,4
177,3
178,3
179,4
180,5
181,3
182,5
183,4
184,3
185,3
186,2
187,5
188,4
189,5
190,2
191,2
192,4
193,3
194,6
195,5
196,5
197,3
198,5
199,2
200,3
201,4
202,5
203,2
204,5
205,3
206,1
207,4
208,6
209,2
210,4
211,4
212,2
213,5
214,4
215,5
216,2
217,4
218,3
219,3
220,4
221,4
222,4
223,3
224,2
225,5
226,5
227,3
228,4
229,3
230,7
231,5
232,5
233,4
234,4
235,4
236,1
237,4
238,6
239,4
240,4
241,4
242,6
243,3
244,4
245,2
246,5
247,3
248,2
249,4
250,3
251,3
252,5
253,2
254,4
255,4
256,3
257,3
258,6
259,2
260,3
261,2
262,4
263,4
264,3
265,2
266,4
267,3
268,3
269,3
270,2
271,4
272,5
273,2
274,5
275,4
276,4
277,6
278,5
279,4
280,4
281,1
282,6
283,6
284,2
285,2
286,5
287,4
288,3
289,4
290,5
291,3
292,3
293,3
294,5
295,4
296,1
297,5
298,2
299,3
300,4
301,5
302,6
303,5
304,3
305,3
306,3
307,2
308,5
309,3
310,4
311,3
312,3
313,4
314,4
315,4
316,3
317,5
318,4
319,5
320,3
321,3
322,2
323,2
324,3
325,5
326,5
327,2
328,2
329,4
330,2
331,5
332,3
333,5
334,3
335,3
336,4
337,2
338,4
339,4
340,4
341,3
342,5
343,6
344,3
345,4
346,5
347,6
348,5
349,2
350,4
351,2
352,4
353,4
354,1
355,6
356,4
357,6
358,5
359,6
360,5
361,3
362,3
363,3
364,2
365,6
366,2
367,3
368,2
369,2
370,5
371,3
372,3
373,2
374,4
375,4
376,5
377,4
378,5
379,6
380,4
381,5
382,4
383,3
384,4
385,3
386,4
387,3
388,5
389,4
390,2
391,2
392,4
393,3
394,4
395,4
396,4
397,3
398,5
399,5
400,3
401,5
402,3
403,4
404,7
405,5
406,4
407,2
408,3
409,1
410,4
411,5
412,3
413,6
414,4
415,3
416,6
417,6
418,3
419,4
420,6
421,5
422,4
423,5
424,4
425,7
426,4
427,3
